Method,Seed,Test_Index,True_Linker,Generated_Linker,MACCS_Similarity,MCS_Similarity,Validity,Novelty,Property_Error,Threshold_Match_0.50,Threshold_Match_0.60,Threshold_Match_0.70,Threshold_Match_0.85,Threshold_Match_0.90
NO-RAG,42,10,C1CNCCN1,c1cnccn1,0.333,1.0,YES,YES,0.7753,YES,YES,YES,YES,YES
NO-RAG,42,11,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2cc(F)c(F)cc12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2ccccc12,1.0,0.902,YES,NO,0.7232,YES,YES,YES,YES,YES
NO-RAG,42,12,O=C1C([N+](=O)[O-])=CC([N+](=O)[O-])C(O)=C1[N+](=O)[O-],O=C(O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])C1=O,0.95,0.212,YES,YES,1.5172,YES,YES,YES,YES,YES
NO-RAG,42,13,O=C([O-])c1ccc(C(=O)[O-])c2ccccc12,O=C([O-])c1ccc(C(=O)[O-])cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,14,c1nnnn1CCn1cnnn1,O=C(O)c1cncnc1,0.25,0.05,YES,YES,1.3959,NO,NO,NO,NO,NO
NO-RAG,42,15,O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-],O=C([O-])c1ccc([N+](=O)[O-])cc1,0.879,0.5,YES,YES,0.9457,YES,YES,YES,YES,NO
NO-RAG,42,16,O=C([O-])c1ccccc1C(=O)[O-],O=C([O-])c1cc(C(=O)[O-])c(C(=O)[O-])cc1C(=O)[O-],1.0,0.667,YES,NO,1.2267,YES,YES,YES,YES,YES
NO-RAG,42,17,CCCn1cnc2c1NC=NC2Cl,CCN1C(=O)[CH]C(=O)N(CC)C1=S,0.323,0.196,YES,NO,2.9455,NO,NO,NO,NO,NO
NO-RAG,42,18,O=C([O-])CCN1[CH]C=C(C2=C[CH]N(CCC(=O)[O-])C=C2)C=C1,O=C([O-])CN1[CH]C=C(C2=C[CH]N(CC(=O)[O-])C=C2)C=C1,0.868,0.732,YES,YES,1.3997,YES,YES,YES,YES,NO
NO-RAG,42,19,O=C([O-])c1cc(C(=O)[O-])cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)c1,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-],0.882,0.754,YES,YES,1.7934,YES,YES,YES,YES,NO
NO-RAG,42,20,O=C([O-])C=Cc1ccncc1,O=C([O-])[CH][CH]c1ccccn1,0.875,0.545,YES,NO,2.54,YES,YES,YES,YES,NO
NO-RAG,42,21,O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,22,C(c1nnn[nH]1)c1nnn[nH]1,O=C(O)CC(O)C(=O)O.O=C([O-])COC(O)C(O)C(O)C(=O)O,0.047,0.027,YES,YES,0.4549,NO,NO,NO,NO,NO
NO-RAG,42,23,O=C([O-])c1cc(O)c(C(=O)[O-])cc1O,O=C([O-])c1cc(O)c(C(=O)[O-])cc1OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,24,CCc1c(C#N)c(CC)c(CC)c(C#N)c1CC,CCCOC=C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)(OCCC)C(C)OCCC,0.189,0.032,YES,YES,1.8745,NO,NO,NO,NO,NO
NO-RAG,42,25,O=C([O-])c1cncc(O)c1,O=C([O-])c1cccnc1C(=O)[O-],0.63,0.75,YES,YES,0.7783,YES,YES,YES,NO,NO
NO-RAG,42,26,O=C([O-])c1cccc(C(=O)[O-])n1,O=C([O-])c1cccnc1C(=O)[O-],0.864,0.75,YES,YES,0.6173,YES,YES,YES,YES,NO
NO-RAG,42,27,O=C([O-])c1cncc(-c2ccccc2C(=O)[O-])c1,O=C([O-])c1cccnc1C(=O)[O-],0.8,0.489,YES,YES,1.1797,YES,YES,YES,NO,NO
NO-RAG,42,28,Cc1cc(C#Cc2cc(C)c(C(=O)[O-])c(C)c2)cc(C)c1C(=O)[O-],Nc1cc(C=Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],0.485,0.41,YES,NO,6.7134,NO,NO,NO,NO,NO
NO-RAG,42,29,c1cn(Cc2cc(Cn3ccnc3)c(Cn3ccnc3)cc2Cn2ccnc2)cn1,c1cc(Cn2ccnc2)cc(Cn2ccnc2)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,30,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,O=C([O-])c1ccccc1O,0.375,0.441,YES,NO,6.1628,NO,NO,NO,NO,NO
NO-RAG,42,31,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,0.581,0.902,YES,YES,3.4639,YES,YES,YES,YES,YES
NO-RAG,42,32,O=C([O-])c1nccnc1C(=O)[O-],O=C([O-])c1cnccn1,0.8,0.75,YES,NO,0.8694,YES,YES,YES,NO,NO
NO-RAG,42,33,COc1cc(C(=O)[O-])ccc1C#Cc1cc(OC)c(C(=O)[O-])cc1-c1ccccc1,CNc1cc(C(=O)[O-])ccc1C(=O)[O-],0.471,0.325,YES,YES,1.271,NO,NO,NO,NO,NO
NO-RAG,42,34,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c(F)c(F)c(F)c(F)c12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2ccccc12INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,35,O=C([O-])c1cnc(C(=O)[O-])cn1,O=C([O-])c1ccc(C(=O)[O-])o1,0.429,0.3,YES,YES,1.2862,NO,NO,NO,NO,NO
NO-RAG,42,36,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,37,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(C(=O)[O-])cc1,0.8,0.421,YES,YES,0.7124,YES,YES,YES,NO,NO
NO-RAG,42,38,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2cc(F)c(F)cc12,0.818,0.638,YES,YES,1.3461,YES,YES,YES,NO,NO
NO-RAG,42,39,[CH](NN[CH]c1ccncc1)c1ccncc1,c1cn(CCCCn2ccnc2)cn1,0.278,0.037,YES,YES,1.4521,NO,NO,NO,NO,NO
NO-RAG,42,40,O=C([O-])c1ccccc1C(=O)O,O=C([O-])c1ccc(C(=O)[O-])cc1,0.8,0.75,YES,YES,3.0765,YES,YES,YES,NO,NO
NO-RAG,42,41,CC(CCC(=O)[O-])C(=O)[O-],O=C([O-])CCCCC(=O)[O-],0.765,0.687,YES,NO,2.1182,YES,YES,YES,NO,NO
NO-RAG,42,42,O=C([O-])c1cc(S(O)(O)O)c(C(=O)[O-])c2c1CC2,O=C([O-])c1ccc(C(c2ccc(C(=O)[O-])c(C(=O)[O-])c2)(C(F)(F)F)C(F)(F)F)cc1C(=O)[O-],0.34,0.299,YES,NO,3.68,NO,NO,NO,NO,NO
NO-RAG,42,43,CNC1(F)CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2,CCC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,44,Cc1nccn1Cc1ccncc1,c1cc(-c2nnc(-c3ccncc3)[nH]2)ccn1,0.472,0.338,YES,YES,1.5789,NO,NO,NO,NO,NO
NO-RAG,42,45,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,c1cc(-c2ccncc2)ccn1,0.385,0.0,YES,YES,1.1454,NO,NO,NO,NO,NO
NO-RAG,42,46,c1cncnc1,c1c[nH]cn1,0.562,0.0,YES,YES,0.8948,YES,NO,NO,NO,NO
NO-RAG,42,47,CCC12C3C4(C(=O)[O-])C5(CC)C(C1(C(=O)[O-])C35[N+](=O)[O-])C24[N+](=O)[O-],O=C([O-])C1C(I)CC2(C(=O)[O-])CC1CC2I,0.312,0.471,YES,YES,1.4357,NO,NO,NO,NO,NO
NO-RAG,42,48,O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],O=C([O-])CCC(=O)[O-],0.478,0.285,YES,YES,1.2689,NO,NO,NO,NO,NO
NO-RAG,42,49,c1cn(-c2ccc(NNc3ccc(-n4ccnc4)cc3)cc2)cn1,O=C1[CH]C(=O)NC(=S)N1,0.231,0.0,YES,NO,1.9487,NO,NO,NO,NO,NO
NO-RAG,42,50,Nc1cc(C#Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],O=C([O-])C1=CC=C2C=C(Br)C(=CC=C(CBr)C(=O)[O-])C2C=C1,0.256,0.148,YES,YES,6.7536,NO,NO,NO,NO,NO
NO-RAG,42,51,CCc1cc2c(cc(CC)c3ccc(C(=O)[O-])c(F)c32)c2cc(C(=O)[O-])ccc12,CC1C=C(C(=O)[O-])C(C(=O)O)=C(C(=O)[O-])C(C(=O)[O-])=C1CC(=O)O,0.371,0.12,YES,YES,1.0776,NO,NO,NO,NO,NO
NO-RAG,42,52,O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1.O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1,Cc1cccc(C)[n+]1C(=O)[O-],0.134,0.058,YES,YES,1.7661,NO,NO,NO,NO,NO
NO-RAG,42,53,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)CC(=O)O,O=C([O-])CNCC(=O)N(CC(=O)[O-])CC(=O)[O-],0.684,0.586,YES,YES,0.6692,YES,YES,NO,NO,NO
NO-RAG,42,54,c1ccc(SSc2ccccn2)nc1,c1cnc(SCSc2ncccn2)nc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,55,Nc1ccc(C=Cc2ccc(N)cc2S(O)(O)O)c(S(O)(O)O)c1,O=P(O)(O)c1ccccc1,0.395,0.246,YES,YES,0.699,NO,NO,NO,NO,NO
NO-RAG,42,56,O=C([O-])c1cc(C(=O)[O-])c(C(=O)O)cc1C(=O)O,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,1.0,1.0,YES,YES,1.0748,YES,YES,YES,YES,YES
NO-RAG,42,57,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)s1,c1cc(-c2ccncc2)ccn1,0.375,0.253,YES,YES,1.5117,NO,NO,NO,NO,NO
NO-RAG,42,58,NC1=N[CH]NN1,Cn1nn[nH]c1=S,0.413,0.0,YES,YES,3.2333,NO,NO,NO,NO,NO
NO-RAG,42,59,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,O=C([O-])c1ccc(C(=O)[O-])cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,60,O=[N+]([O-])c1cncc([N+](=O)[O-])c1C#Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-],N#Cc1cc([N+](=O)[O-])c(C#N)cc1[N+](=O)[O-],0.732,0.137,YES,YES,1.8343,YES,YES,YES,NO,NO
NO-RAG,42,61,O=C([O-])C(O)=C(O)C(=O)[O-],O=C([O-])C(=O)[O-],0.588,0.478,YES,YES,1.6999,YES,NO,NO,NO,NO
NO-RAG,42,62,C(#C[Si](C#Cc1cn[nH]c1)(C#CC1C=NN=C1)C#CC1C=NN=C1)C1=CN=N[CH]1,C(#CC#Cc1cn[nH]c1)C#CC1=CN=N[CH]1,0.828,0.232,YES,YES,5.132,YES,YES,YES,NO,NO
NO-RAG,42,63,O=C([O-])CN1[CH]C=C(c2nnn[nH]2)C=C1,O=C([O-])c1cccc(-c2nnn[nH]2)c1,0.652,0.39,YES,YES,2.0802,YES,YES,NO,NO,NO
NO-RAG,42,64,Nc1ccccc1S,O=C([O-])c1cccc(C(=O)O)n1.O=C([O-])c1cccc(C(=O)[O-])n1,0.078,0.0,YES,NO,0.7177,NO,NO,NO,NO,NO
NO-RAG,42,65,O=C([O-])c1nc(-c2ccc3ccccc3c2)[nH]c1C(=O)[O-],O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,0.429,0.276,YES,YES,1.3488,NO,NO,NO,NO,NO
NO-RAG,42,66,O=C(O)c1ccc(-c2ccc(-c3ccc(C(=O)O)cc3C(=O)[O-])cc2)c(C(=O)[O-])c1,O=C([O-])c1cc(C(=O)[O-])nc(-c2nc(C(=O)[O-])ccc2C(=O)O)c1,0.6,0.118,YES,YES,1.7689,YES,YES,NO,NO,NO
NO-RAG,42,67,c1ccc(-c2cc(-c3ccncc3)nc(-c3ccncc3)c2)nc1,C=CC=CC=C1C=CC=C(c2ccncc2)C=NC=C2NC=C(N=C1)C(=CC)c1cnccc12,0.467,0.199,YES,YES,3.7653,NO,NO,NO,NO,NO
NO-RAG,42,68,CSc1nccs1,O=P(O)(O)Cc1ccncc1,0.179,0.055,YES,YES,1.5843,NO,NO,NO,NO,NO
NO-RAG,42,69,O=C([O-])C1CCC(C(=O)[O-])CC1,O=C([O-])C1CC(C(=O)O)C(C(=O)[O-])CC1C(=O)O,0.6,0.667,YES,YES,1.6611,YES,YES,NO,NO,NO
NO-RAG,42,70,c1c[nH]cn1,c1c[nH]cn1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,71,c1ccc(-c2nnc(-c3ccncc3)[nH]2)nc1,C1=NN=CC1c1ccc(-c2cn[nH]c2)cc1,0.643,0.092,YES,YES,2.3123,YES,YES,NO,NO,NO
NO-RAG,42,72,O=C([O-])c1cccc(-c2c3nc(c(-c4cccc(C(=O)[O-])c4)c4ccc([nH]4)c(-c4cccc(C(=O)[O-])c4)c4nc(c(-c5cccc(C(=O)[O-])c5)c5ccc2[nH]5)C=C4)C=C3)c1,C=CN=CC=CNNC(=O)C1CC(C(=O)[O-])=CC1=CC(=O)[O-],0.367,0.058,YES,YES,1.211,NO,NO,NO,NO,NO
NO-RAG,42,73,O=C([O-])c1cc2c(cc1C(=O)[O-])C(=O)c1ccccc1C2=O,O=C([O-])c1ccccc1I,0.44,0.395,YES,NO,1.7009,NO,NO,NO,NO,NO
NO-RAG,42,74,Cc1cc2ccc3nc(C)ccc3c2cn1,CCCC=NC1=CC=C2N=CC=CC=C(C=C1)C2C,0.312,0.083,YES,YES,1.4547,NO,NO,NO,NO,NO
NO-RAG,42,75,Nc1nc2ccccc2[nH]1,c1ccc2c(c1)ncn2Cn1cnc2ccccc21,0.5,0.466,YES,NO,4.0295,YES,NO,NO,NO,NO
NO-RAG,42,76,O=C([O-])CCC(=O)[O-],O=C([O-])CC(=O)[O-],0.786,0.604,YES,YES,0.4617,YES,YES,YES,NO,NO
NO-RAG,42,77,CNC12C3C4C5C3(C#CC(=O)[O-])C1C5(NC)C42C#CC(=O)[O-],CNC12C3C4C5C(C41C#CC(=O)[O-])C2(NC)C53C#CC(=O)[O-],0.879,0.915,YES,YES,1.3209,YES,YES,YES,YES,YES
NO-RAG,42,78,O=C([O-])c1ccc(-c2ccccc2)cc1,O=C([O-])c1cccc(-c2cccnc2)c1,0.706,0.585,YES,YES,1.3365,YES,YES,YES,NO,NO
NO-RAG,42,79,CCCOc1c(C(=O)[O-])ccc2c(OCCC)c(C(=O)[O-])ccc12,CCCOc1cc(NNc2ccc(C(=O)[O-])cc2I)c(OCCC)c(I)c1C(=O)[O-],0.6,0.428,YES,YES,1.3172,YES,YES,NO,NO,NO
NO-RAG,42,80,CN1c2cncc(n2)N(C)c2cncc(n2)N(C)c2cncc(n2)N(C)c2cncc1n2,C1=CC2C=CC1CSCc1cccc(c1)CS2,0.189,0.0,YES,YES,3.6061,NO,NO,NO,NO,NO
NO-RAG,42,81,CC(C(=O)[O-])C(=O)[O-],NC(CC(=O)[O-])C(=O)[O-],0.409,0.533,YES,YES,2.9623,YES,NO,NO,NO,NO
NO-RAG,42,82,O=C([O-])C(F)=C(F)C(=O)[O-],O=C([O-])C(F)=C(F)C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,83,O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-],O=C([O-])c1ccc(C=Nc2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,0.5,0.354,YES,NO,2.0372,YES,NO,NO,NO,NO
NO-RAG,42,84,Cc1cc(OCC(=O)[O-])cc(C(=O)[O-])c1,O=C([O-])CNC=C1C=C(C(=O)[O-])C(=O)N1,0.306,0.24,YES,YES,4.2596,NO,NO,NO,NO,NO
NO-RAG,42,85,O=C([O-])c1sc2c(C(=O)O)c(C(=O)[O-])sc2c1C(=O)O,O=C([O-])c1cc(C(=O)[O-])c(C(=O)O)c(C(=O)O)c1,0.577,0.177,YES,YES,4.7,YES,NO,NO,NO,NO
NO-RAG,42,86,Cc1nc(C)c(C(=O)[O-])c(C=Cc2ccccc2)c1C(=O)[O-],O=C([O-])c1cccc(F)c1C(=O)[O-],0.467,0.313,YES,NO,1.4427,NO,NO,NO,NO,NO
NO-RAG,42,87,Cc1c(C)c(C(=O)[O-])c(C)c(C)c1C(=O)[O-],Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1,0.5,0.625,YES,NO,0.7735,YES,YES,NO,NO,NO
NO-RAG,42,88,O=C([O-])CO,O=C([O-])COINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,89,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(C(=O)O)c2)cc1C(=O)O,O=C([O-])c1ccc(NNc2ccc(C(=O)[O-])c(C(=O)O)c2)cc1C(=O)[O-],0.581,0.455,YES,YES,2.5172,YES,NO,NO,NO,NO
NO-RAG,42,90,Cc1cc(-n2ccnc2)c(C)cc1-n1ccnc1,c1cc(-c2ccc(-c3ccnnc3)cc2)cnn1,0.333,0.32,YES,YES,2.0767,NO,NO,NO,NO,NO
NO-RAG,42,91,O=P(O)(O)CCSc1ccncc1,CC=CC(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,92,O=C([O-])C1=NC(c2cncc(Br)c2)=NC1C(=O)O,O=CC1=CC(Cc2ccc(C(=O)O)cc2)=C(C(=O)[O-])C1=CC1=CC(=CC(=O)[O-])C=CO1,0.378,0.114,YES,YES,1.9518,NO,NO,NO,NO,NO
NO-RAG,42,93,[CH]1N=NC=C1c1ccc([Si](c2ccc(-c3cn[nH]c3)cc2)(c2ccc(C3C=NN=C3)cc2)c2ccc(C3C=NN=C3)cc2)cc1,C1=NN=CC1C12C3C4C1C1C2C3C41Cc1cn[nH]c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,94,CCOC1(Br)c2c(C(=O)[O-])c(Br)cc(C(=O)[O-])c2C1Br,O=C([O-])c1c(F)c(F)c(N=Nc2c(F)c(F)c(C(=O)[O-])c(F)c2F)c(F)c1F,0.386,0.317,YES,NO,1.9831,NO,NO,NO,NO,NO
NO-RAG,42,95,CCCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2,CCC1c2c(C(=O)[O-])cc(OC)c(C(=O)[O-])c2C1CCINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,96,N#CC(C(=O)[O-])=C(C=CC(=O)[O-])c1ccccc1,CCCc1cc(C(=O)[O-])ccc1NNc1ccc(C(=O)[O-])cc1,0.31,0.342,YES,YES,1.5504,NO,NO,NO,NO,NO
NO-RAG,42,97,O=C([O-])C=CC=CC(=O)[O-],O=C([O-])CCC(=O)[O-],0.643,0.373,YES,YES,1.4334,YES,YES,NO,NO,NO
NO-RAG,42,98,CCOP(=O)(Cc1c(C)c(C)c(CP(=O)(OCC)OCC)c(C)c1C)OCC,CCCCS(=O)CC1CCCCC1,0.349,0.25,YES,YES,1.6918,NO,NO,NO,NO,NO
NO-RAG,42,99,[CH]1N=CNN1CCCCCCn1cncn1,c1cnc(SCSc2ncccn2)nc1,0.265,0.037,YES,NO,2.3068,NO,NO,NO,NO,NO
NO-RAG,42,100,O=P(O)(O)O,O=S(=O)(O)O,0.577,0.12,YES,YES,1.0945,YES,NO,NO,NO,NO
NO-RAG,42,101,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])c2c1CC2,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,0.317,0.69,YES,YES,2.2188,YES,YES,NO,NO,NO
NO-RAG,42,102,O=C([O-])c1cc(Cn2nnc3ccccc32)cc(C(=O)[O-])c1,O=C([O-])c1ccccc1-c1ccccc1C(=O)[O-],0.318,0.395,YES,YES,1.5712,NO,NO,NO,NO,NO
NO-RAG,42,103,O=C([O-])c1c(F)cc(C=Cc2cc(F)c(C(=O)[O-])c(F)c2)cc1F,O=C([O-])C=C(O)C(O)=C(C=CC(O)=C1C(=C(O)C(O)=C(CO)C(=O)[O-])C1OCO)COC(O)=CO,0.279,0.074,YES,YES,6.9295,NO,NO,NO,NO,NO
NO-RAG,42,104,Nc1c(N)c(C(=O)[O-])c(N)c(N)c1C#Cc1c(N)c(N)c(C(=O)[O-])c(N)c1N,O=C([O-])c1c(Cl)c(Cl)c(C#Cc2c(Cl)c(Cl)c(C(=O)[O-])c(Cl)c2Cl)c(Cl)c1ClINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,105,NCC(=O)[O-],N#CCC(=O)[O-],0.474,0.64,YES,NO,0.3368,YES,YES,NO,NO,NO
NO-RAG,42,106,O=C([O-])c1nc[nH]c1C(=O)[O-],O=C([O-])c1nc[nH]c1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,107,O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2Cl)c(Cl)c1,O=C([O-])c1ccc(NNc2ccc(C(=O)[O-])c(Cl)c2)cc1Cl,0.588,0.402,YES,NO,4.0666,YES,NO,NO,NO,NO
NO-RAG,42,108,O=C([O-])c1cncc(OCOc2cncc(C(=O)[O-])c2)c1,O=C([O-])c1cccc(-n2ccc(=O)cc2)c1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,109,O=C([O-])c1ccc(-n2ccc(=O)cc2)cc1C(=O)[O-],O=C([O-])c1ccc(C(=O)[O-])cc1,0.343,0.464,YES,YES,1.7444,NO,NO,NO,NO,NO
NO-RAG,42,110,CCc1cc(-c2ccc(C(=O)[O-])cc2)ccc1C(=O)[O-],INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,111,CCCC1=NN=CC1C#Cc1ccc(C#CC2=C(CCC)N=N[CH]2)cc1OC,CCCOC12C=CC3(C)C(C#Cc4cn[nH]c4)C1(OCCC)C3(F)C2,0.477,0.126,YES,YES,1.0756,NO,NO,NO,NO,NO
NO-RAG,42,112,CCC(C)COc1cc(C=Cc2ccncc2)c(OCC(C)CC)cc1C=Cc1ccncc1,CC1=CC=C(C(=O)C2=C(C(C)Cc3ccc(C#N)cc3)[CH]C2=CC(C)(C)C)C=CC1,0.31,0.23,YES,YES,0.8616,NO,NO,NO,NO,NO
NO-RAG,42,113,Cn1cnc(C(=O)[O-])c1C(=O)[O-],O=C([O-])c1ccco1,0.333,0.3,YES,NO,3.0607,NO,NO,NO,NO,NO
NO-RAG,42,114,O=S1(=O)CCCC1,O=C([O-])COCCC(O)C(CO)C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,115,Cc1nccn1CCCCn1ccnc1C,c1cc(-c2ccncc2)ccn1,0.237,0.0,YES,YES,1.9865,NO,NO,NO,NO,NO
NO-RAG,42,116,O=C([O-])c1ccnc(-c2cc(C(=O)[O-])ccn2)c1,O=C([O-])c1cccc(Cl)c1,0.321,0.196,YES,NO,1.0872,NO,NO,NO,NO,NO
NO-RAG,42,117,O=C([O-])c1cccc(-c2nccs2)c1,OS(O)(O)c1cccnc1,0.239,0.043,YES,NO,0.6996,NO,NO,NO,NO,NO
NO-RAG,42,118,NC(=S)c1cccc(C(N)=S)c1,c1cc(-c2nnn[nH]2)cc(-c2nnn[nH]2)c1,0.25,0.358,YES,YES,1.5613,NO,NO,NO,NO,NO
NO-RAG,42,119,O=C([O-])c1ccc(N=Cc2ccccc2O)cc1,O=C([O-])c1cccc(-c2cccnc2)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
